emp_no,first_name,last_name,birth_date,from_date,to_date,title
46328,Wuxu,Trogemann,1965-01-05,1997-01-27,9999-01-01,Senior Staff
46811,Junsik,Berendt,1965-01-10,1988-04-27,9999-01-01,Senior Engineer
47016,Toong,Litecky,1965-01-03,1989-03-01,9999-01-01,Senior Staff
47262,Gonzalo,Binkley,1965-01-10,1985-08-16,9999-01-01,Engineer
47708,Edwin,Haldar,1965-01-05,1995-07-12,9999-01-01,Senior Staff
48690,Hitomi,Schaap,1965-01-12,1999-09-27,9999-01-01,Staff
48947,Filipp,Akaboshi,1965-01-05,1992-05-20,9999-01-01,Senior Staff
49017,Filipp,Flanders,1965-01-07,1990-11-26,9999-01-01,Engineer
49119,Lena,Peek,1965-01-09,1991-05-16,9999-01-01,Engineer
49177,Tze,Bach,1965-01-03,1999-03-09,9999-01-01,Engineer
50453,Aron,Harbusch,1965-01-12,1997-10-02,9999-01-01,Staff
50831,Marie,Khalid,1965-01-06,1996-06-11,9999-01-01,Senior Engineer
52639,Arup,Colorni,1965-01-09,1996-02-05,9999-01-01,Senior Staff
53314,Eberhardt,Carrera,1965-01-06,1999-02-23,9999-01-01,Staff
53431,Sham,Vasanthakumar,1965-01-12,1993-05-24,9999-01-01,Senior Staff
54198,Shaowen,Segond,1965-01-01,1986-01-06,9999-01-01,Engineer
55687,Shih,Lindqvist,1965-01-02,1995-03-29,9999-01-01,Senior Engineer
56105,Makato,Remmers,1965-01-11,1989-04-16,9999-01-01,Engineer
56829,Nagui,Gruenwald,1965-01-09,1997-06-14,9999-01-01,Engineer
58141,Bezalel,Karner,1965-01-05,1994-09-27,9999-01-01,Staff
58147,Shigenori,Sullins,1965-01-09,1988-02-24,9999-01-01,Senior Staff
58819,Gennady,Liesche,1965-01-04,1987-12-02,9999-01-01,Senior Staff
58990,Palash,Trelles,1965-01-04,1998-11-18,9999-01-01,Engineer
59195,Ronnie,Pollock,1965-01-08,1990-06-19,9999-01-01,Technique Leader
60821,Moty,Mersereau,1965-01-02,1991-09-03,9999-01-01,Senior Staff
60959,Tetsushi,Sridhar,1965-01-09,1989-10-19,9999-01-01,Senior Staff
61253,Cheong,Uhrik,1965-01-09,2002-05-09,9999-01-01,Engineer
61377,Dannz,Ohori,1965-01-01,1997-04-13,9999-01-01,Senior Staff
61541,Kasidit,Papsdorf,1965-01-08,1993-08-17,9999-01-01,Engineer
62245,Adel,Bressoud,1965-01-01,1995-08-30,9999-01-01,Engineer
64023,Laurentiu,Benzmuller,1965-01-11,1999-11-08,9999-01-01,Senior Engineer
64632,Zsolt,Brender,1965-01-07,1996-02-21,9999-01-01,Senior Staff
64984,Eldridge,Eldridge,1965-01-06,1994-08-04,9999-01-01,Engineer
65883,Patricia,Pepe,1965-01-07,1991-04-19,9999-01-01,Senior Staff
65998,Mandell,Alameldin,1965-01-09,1989-04-08,9999-01-01,Senior Staff
66382,Domenico,Candan,1965-01-04,1997-07-13,9999-01-01,Engineer
67548,Fumitaka,Roohalamini,1965-01-11,1998-06-27,9999-01-01,Staff
67934,Aiman,Gargeya,1965-01-07,1985-03-07,9999-01-01,Engineer
69219,Shuky,Redmiles,1965-01-09,1994-11-19,9999-01-01,Senior Staff
70469,Tru,Miyakawa,1965-01-12,1990-09-03,9999-01-01,Senior Staff
71141,Sajjad,Vitiello,1965-01-02,1992-02-17,9999-01-01,Senior Staff
71188,Pranjal,Schapiro,1965-01-02,1986-12-14,9999-01-01,Senior Staff
71243,Kinh,Buchter,1965-01-10,1986-03-29,9999-01-01,Engineer
71685,Kristinn,Olano,1965-01-01,1989-10-03,9999-01-01,Senior Engineer
71745,Adil,Laventhal,1965-01-02,1992-05-13,9999-01-01,Assistant Engineer
72232,Naraig,Veldwijk,1965-01-10,1989-07-10,9999-01-01,Engineer
74668,Masako,Bonifati,1965-01-01,1987-04-09,9999-01-01,Senior Staff
75354,Shuky,Jakobus,1965-01-11,1986-06-16,9999-01-01,Engineer
75703,Kyoichi,Erman,1965-01-08,1996-07-25,9999-01-01,Engineer
76189,Kolar,Hinsberger,1965-01-02,1986-10-20,9999-01-01,Engineer
76201,Arif,Preusig,1965-01-10,1992-04-02,9999-01-01,Senior Engineer
76640,Tristan,Mitsuhashi,1965-01-02,1994-07-13,9999-01-01,Engineer
77030,Faiza,Garnham,1965-01-02,1986-03-02,9999-01-01,Technique Leader
77647,Niranjan,Schaaf,1965-01-07,1989-11-05,9999-01-01,Technique Leader
78106,Ashish,Ratnaker,1965-01-09,2000-01-17,9999-01-01,Senior Staff
78363,Susumu,Fritzsche,1965-01-03,1998-06-23,9999-01-01,Engineer
79606,Arnd,Peir,1965-01-03,1986-12-11,9999-01-01,Senior Engineer
80889,Shigeo,Linnainmaa,1965-01-07,1985-07-30,9999-01-01,Senior Engineer
81644,Divine,Ghandeharizadeh,1965-01-05,1997-11-28,9999-01-01,Staff
81995,Sreekrishna,Brender,1965-01-10,1990-03-22,9999-01-01,Engineer
82919,Shigeu,Claffy,1965-01-05,1998-12-19,9999-01-01,Engineer
83280,Francesca,Ellozy,1965-01-07,1999-08-08,9999-01-01,Senior Engineer
83289,Shigeichiro,Engelmann,1965-01-09,1994-01-09,9999-01-01,Engineer
83509,Breannda,Collavizza,1965-01-04,1989-10-12,9999-01-01,Engineer
83941,Zsolt,Hagimont,1965-01-11,1996-10-08,9999-01-01,Senior Staff
85288,Younwoo,Luders,1965-01-06,1998-12-08,9999-01-01,Engineer
85445,Yongdong,Pollock,1965-01-09,1998-03-17,9999-01-01,Staff
85702,Udi,Merks,1965-01-04,1997-08-15,9999-01-01,Engineer
86546,Oldrich,Woycyznski,1965-01-09,1985-05-15,9999-01-01,Engineer
86655,Zhenhua,Lorys,1965-01-01,1995-08-21,9999-01-01,Engineer
87353,Quingbo,Coombs,1965-01-07,1999-01-17,9999-01-01,Senior Engineer
88103,Goo,Bresenham,1965-01-09,1999-01-31,9999-01-01,Senior Staff
88647,Vasiliy,Ratnaker,1965-01-10,1995-08-09,9999-01-01,Engineer
89161,Conal,Yetto,1965-01-07,1991-01-12,9999-01-01,Senior Staff
90084,Renny,Bale,1965-01-01,1989-11-22,9999-01-01,Engineer
90292,Koichi,Assaf,1965-01-09,1990-05-26,9999-01-01,Engineer
90692,Rajmohan,DasSarma,1965-01-03,1985-09-14,9999-01-01,Senior Staff
91182,Lucien,Schwartzburd,1965-01-04,1988-08-25,9999-01-01,Engineer
91229,Yahiko,Hebden,1965-01-01,1996-10-03,9999-01-01,Engineer
91415,Jamaludin,Nilsson,1965-01-04,1987-01-15,9999-01-01,Senior Staff
92438,Aria,Kilgore,1965-01-04,1992-04-11,9999-01-01,Engineer
92577,Zhanqiu,Farrow,1965-01-06,1999-01-10,9999-01-01,Assistant Engineer
92846,Anyuan,Kropatsch,1965-01-11,1986-09-05,9999-01-01,Senior Staff
93220,Richara,Walston,1965-01-11,1996-08-27,9999-01-01,Senior Engineer
94416,Aran,Cesareni,1965-01-01,2001-11-20,9999-01-01,Senior Staff
95406,Alair,Lyonns,1965-01-08,1997-07-12,9999-01-01,Engineer
95509,Kristinn,Loncour,1965-01-11,1995-02-08,9999-01-01,Engineer
96767,Arumugam,Vecchio,1965-01-07,1985-08-14,9999-01-01,Engineer
97018,Jeanna,Chinen,1965-01-09,1989-01-01,9999-01-01,Engineer
98288,Sumali,Huttel,1965-01-12,1989-09-12,9999-01-01,Senior Staff
102620,Adin,Templeman,1965-01-03,1999-08-12,9999-01-01,Engineer
103310,Visit,Swen,1965-01-07,1995-10-02,9999-01-01,Senior Staff
103316,Susanne,Peternell,1965-01-03,1994-07-27,9999-01-01,Engineer
103342,Beshir,Hellwagner,1965-01-03,1998-02-03,9999-01-01,Engineer
104988,Parviz,Litzler,1965-01-07,1992-08-08,9999-01-01,Engineer
105342,Kwun,Reeker,1965-01-01,1999-07-29,9999-01-01,Technique Leader
105432,Mohamadou,Stafford,1965-01-08,1995-09-12,9999-01-01,Engineer
105520,Haldun,Lienhardt,1965-01-01,1987-01-29,9999-01-01,Senior Staff
108091,Hisao,Ghemri,1965-01-09,1985-11-14,9999-01-01,Senior Staff
108316,Shai,Stellhorn,1965-01-02,1992-05-21,9999-01-01,Senior Engineer
109211,Gor,Delgrande,1965-01-11,2002-06-18,9999-01-01,Engineer
109620,Mani,Cannata,1965-01-02,1989-06-21,9999-01-01,Senior Staff
109741,Hatem,Fadgyas,1965-01-11,1991-11-13,9999-01-01,Senior Engineer
200267,Chuanti,Luff,1965-01-08,1994-09-21,9999-01-01,Senior Staff
200363,Kirk,Quaggetto,1965-01-10,1987-06-30,9999-01-01,Engineer
200735,Dinah,Denos,1965-01-09,1992-09-21,9999-01-01,Senior Staff
201229,Alejandra,Khasidashvili,1965-01-03,1994-07-30,9999-01-01,Staff
201709,Fan,Kakkad,1965-01-01,1988-02-25,9999-01-01,Senior Staff
201801,Waiman,Genin,1965-01-12,1988-10-30,9999-01-01,Engineer
201915,Sudharsan,DeMori,1965-01-02,1992-03-30,9999-01-01,Engineer
202403,Gully,Perko,1965-01-09,1999-07-07,9999-01-01,Engineer
202552,Morris,Saoudi,1965-01-05,1991-11-22,9999-01-01,Engineer
203474,Hugh,Jonsson,1965-01-03,1991-07-06,9999-01-01,Senior Staff
203495,Zongyan,Gips,1965-01-02,1997-05-31,9999-01-01,Technique Leader
204117,Jessie,Nooteboom,1965-01-10,2000-12-13,9999-01-01,Staff
204246,Arve,Worfolk,1965-01-09,1985-04-01,9999-01-01,Senior Staff
204425,Gretta,Huttel,1965-01-03,1990-10-08,9999-01-01,Senior Engineer
205174,Leszek,Spinelli,1965-01-05,1998-12-10,9999-01-01,Staff
205500,Mary,Setiz,1965-01-04,1989-01-13,9999-01-01,Senior Engineer
205863,Aiichiro,Kusalik,1965-01-06,1990-10-04,9999-01-01,Engineer
206748,Yucai,Fabrizio,1965-01-07,1999-10-06,9999-01-01,Staff
206836,Guadalupe,Pfau,1965-01-12,1993-03-22,9999-01-01,Senior Staff
207401,Shuji,Barbanera,1965-01-04,1987-08-10,9999-01-01,Senior Staff
207980,Remko,Vieth,1965-01-07,1990-11-22,9999-01-01,Senior Staff
208147,Manu,Rothenberg,1965-01-09,1988-12-06,9999-01-01,Engineer
208330,Shen,Flanders,1965-01-11,1989-07-03,9999-01-01,Senior Staff
209101,Xinyu,Edelhoff,1965-01-05,1997-10-26,9999-01-01,Senior Engineer
209565,Dante,Covnot,1965-01-09,1989-05-28,9999-01-01,Senior Staff
211858,Domenico,Ratnaker,1965-01-08,1985-03-24,9999-01-01,Engineer
211879,Gao,Ranze,1965-01-12,1994-11-24,9999-01-01,Engineer
211967,Anwar,Bain,1965-01-07,1989-01-22,9999-01-01,Engineer
212093,Leni,Henders,1965-01-11,1993-11-19,9999-01-01,Senior Staff
213140,Tru,Danecki,1965-01-10,1997-03-31,9999-01-01,Staff
213384,Pranas,Narwekar,1965-01-04,1985-09-26,9999-01-01,Engineer
214634,Shirish,Vickson,1965-01-12,1989-10-24,9999-01-01,Engineer
214995,Dinkar,Hoppenstand,1965-01-12,1994-05-04,9999-01-01,Engineer
215746,Sven,Speer,1965-01-08,1999-07-08,9999-01-01,Staff
217026,Otmar,Engberts,1965-01-11,1993-08-16,9999-01-01,Senior Staff
217080,Masami,Puoti,1965-01-12,2000-01-21,9999-01-01,Senior Engineer
217286,Yannik,Spelt,1965-01-05,1992-09-22,9999-01-01,Technique Leader
217320,Abdelwaheb,Denis,1965-01-10,1993-09-10,9999-01-01,Engineer
217551,Panayotis,Lukaszewicz,1965-01-02,1989-06-06,9999-01-01,Engineer
219052,Marsal,Acton,1965-01-06,1995-08-02,9999-01-01,Staff
220131,Reinhard,Slaats,1965-01-09,1994-06-08,9999-01-01,Engineer
220528,Sibyl,Rabehasaina,1965-01-06,1998-02-23,9999-01-01,Senior Staff
220582,Poornachandra,Zielinski,1965-01-08,1996-02-13,9999-01-01,Senior Staff
220699,Nahid,Gyimothy,1965-01-07,1995-08-18,9999-01-01,Staff
221435,Djenana,Marrevee,1965-01-06,1994-02-06,9999-01-01,Engineer
222878,Annemarie,Zallocco,1965-01-10,1996-12-01,9999-01-01,Engineer
222926,Limsoon,Erol,1965-01-10,1997-12-31,9999-01-01,Senior Engineer
222998,Leaf,Awdeh,1965-01-07,1992-10-02,9999-01-01,Senior Staff
224135,Annemarie,Bressoud,1965-01-02,1998-06-23,9999-01-01,Engineer
224934,George,Miake,1965-01-05,1988-01-02,9999-01-01,Senior Staff
225788,Ipke,Kieras,1965-01-08,1995-12-18,9999-01-01,Engineer
226227,Herbert,Erva,1965-01-07,1986-09-06,9999-01-01,Engineer
227354,Gio,Murtha,1965-01-12,1986-11-11,9999-01-01,Engineer
227476,Macha,Schnabel,1965-01-11,1988-05-11,9999-01-01,Engineer
228248,Yuriy,Plump,1965-01-09,1988-09-08,9999-01-01,Senior Staff
228554,Bilhanan,Brendel,1965-01-03,1990-12-23,9999-01-01,Senior Staff
228766,Nahla,Smailagic,1965-01-11,1993-02-12,9999-01-01,Engineer
229098,Berry,Yurek,1965-01-08,1995-08-16,9999-01-01,Senior Staff
229386,Pohua,Tasistro,1965-01-03,1994-11-04,9999-01-01,Technique Leader
229404,Gilbert,Kilgour,1965-01-11,1996-04-05,9999-01-01,Staff
229547,Moni,Schach,1965-01-03,1986-07-04,9999-01-01,Senior Staff
230002,Tadahiro,Backhouse,1965-01-07,1991-10-02,9999-01-01,Engineer
230865,Takushi,Brattka,1965-01-02,1999-06-03,9999-01-01,Staff
231671,Chandrasekaran,Pearson,1965-01-07,1995-04-14,9999-01-01,Staff
232209,Nitsan,Rouquie,1965-01-11,1988-08-01,9999-01-01,Engineer
233394,Khalid,Lenart,1965-01-06,1995-12-24,9999-01-01,Engineer
233426,Etsuo,Usery,1965-01-12,1995-03-02,9999-01-01,Engineer
233818,Kellie,Heydon,1965-01-01,1985-11-11,9999-01-01,Engineer
234195,Luerbio,Terkki,1965-01-07,1991-05-14,9999-01-01,Senior Staff
235325,Gro,Prochazka,1965-01-06,1992-10-16,9999-01-01,Engineer
235368,Anneli,Joslin,1965-01-09,1987-04-12,9999-01-01,Senior Engineer
235458,Gio,Heuser,1965-01-05,1992-06-28,9999-01-01,Senior Staff
235793,Jayesh,Spinelli,1965-01-03,1999-01-16,9999-01-01,Senior Engineer
236591,Insup,Reinhard,1965-01-11,1985-04-08,9999-01-01,Senior Staff
238112,Miomir,Frezza,1965-01-12,1991-05-25,9999-01-01,Technique Leader
238252,Uno,Suppi,1965-01-09,1996-12-27,9999-01-01,Staff
238422,Vishv,Angelov,1965-01-10,1988-03-08,9999-01-01,Senior Staff
238949,Minghong,Cronin,1965-01-09,1987-10-04,9999-01-01,Senior Staff
239067,Tadahiko,Pocchiola,1965-01-11,1996-04-02,9999-01-01,Staff
239415,Susumu,Brender,1965-01-01,1993-04-17,9999-01-01,Engineer
239426,Vesna,Fairtlough,1965-01-08,2002-05-07,9999-01-01,Engineer
239664,Sugwoo,Michaels,1965-01-04,1992-08-02,9999-01-01,Engineer
240438,Temple,Cyre,1965-01-02,1992-09-30,9999-01-01,Senior Staff
240870,Francesca,Chorvat,1965-01-06,1992-03-17,9999-01-01,Senior Staff
241872,Bluma,Fetvedt,1965-01-11,2001-11-14,9999-01-01,Senior Staff
242019,Herb,Murrill,1965-01-09,2001-10-28,9999-01-01,Senior Engineer
242081,Tomokazu,Pargas,1965-01-12,1996-11-15,9999-01-01,Assistant Engineer
242104,Richara,Sudkamp,1965-01-05,1989-09-05,9999-01-01,Senior Staff
242500,Bingning,Iisaku,1965-01-08,1989-06-26,9999-01-01,Senior Staff
242800,Kazuyasu,Levergood,1965-01-11,1996-02-10,9999-01-01,Engineer
243018,Bowen,Deverell,1965-01-02,1998-12-27,9999-01-01,Senior Staff
243576,Abdulah,Lodder,1965-01-04,1996-11-10,9999-01-01,Senior Staff
243898,Arch,Basawa,1965-01-09,1998-05-10,9999-01-01,Staff
244308,Mokhtar,Rebaine,1965-01-10,1991-07-23,9999-01-01,Senior Staff
244873,Arunachalam,Oppitz,1965-01-04,1986-05-20,9999-01-01,Senior Staff
246244,George,Casperson,1965-01-09,2000-01-20,9999-01-01,Staff
246364,Alper,Tiemann,1965-01-06,1998-10-29,9999-01-01,Engineer
246764,Shuzo,Czaja,1965-01-04,1997-11-29,9999-01-01,Staff
246798,Tianruo,Strooper,1965-01-09,2001-12-07,9999-01-01,Senior Staff
247612,Chiranjit,Constantine,1965-01-04,1997-05-25,9999-01-01,Engineer
247875,Xiong,Anick,1965-01-02,1991-04-23,9999-01-01,Senior Staff
248256,Sajjan,Falby,1965-01-05,1996-08-29,9999-01-01,Staff
249504,Dmitry,Velardi,1965-01-07,1995-10-20,9999-01-01,Engineer
249780,Nechama,Gaughan,1965-01-12,1993-07-09,9999-01-01,Assistant Engineer
249799,Jolita,Neimat,1965-01-04,1993-12-27,9999-01-01,Engineer
251233,Yucel,Bernini,1965-01-07,1993-02-19,9999-01-01,Engineer
251341,Divier,Kumaresan,1965-01-11,1992-12-05,9999-01-01,Senior Staff
251403,Utpal,DuBourdieux,1965-01-01,1997-11-19,9999-01-01,Technique Leader
251645,Bezalel,Tsunoo,1965-01-06,1992-06-17,9999-01-01,Senior Staff
251680,Moty,Sommen,1965-01-05,1990-08-14,9999-01-01,Senior Engineer
251814,Mitsuyuki,Zockler,1965-01-01,1998-09-14,9999-01-01,Technique Leader
252185,Chaosheng,Conta,1965-01-01,1997-04-14,9999-01-01,Assistant Engineer
252316,Gill,Niizuma,1965-01-07,1994-10-08,9999-01-01,Engineer
252392,Sanjeeva,Peron,1965-01-01,1993-12-26,9999-01-01,Engineer
253707,Insup,Hainaut,1965-01-05,1998-02-11,9999-01-01,Staff
253893,Huiqun,Trystram,1965-01-04,1993-05-10,9999-01-01,Senior Engineer
256216,Halsur,Brodal,1965-01-01,1997-11-22,9999-01-01,Engineer
256856,Hongzue,Barbanera,1965-01-03,1987-06-17,9999-01-01,Senior Staff
256881,Ioana,Jakobus,1965-01-03,1990-08-10,9999-01-01,Engineer
256888,Heather,Pehl,1965-01-03,1993-09-15,9999-01-01,Staff
257378,Pascal,Bernatsky,1965-01-06,1988-09-03,9999-01-01,Senior Staff
257484,Shaowei,Nicolson,1965-01-01,1986-12-07,9999-01-01,Senior Staff
258028,Mountaz,Reinhart,1965-01-07,2001-07-03,9999-01-01,Engineer
258470,Weiwu,Butner,1965-01-04,1995-02-14,9999-01-01,Staff
258643,Przemyslawa,Esposito,1965-01-11,1992-02-27,9999-01-01,Engineer
259042,Xiaoqiang,Farrow,1965-01-12,1997-01-01,9999-01-01,Staff
261631,Jianhua,Huttel,1965-01-08,1998-02-23,9999-01-01,Engineer
261662,Berni,Assaf,1965-01-11,1989-09-08,9999-01-01,Senior Staff
262328,Mayuko,Vural,1965-01-03,1997-12-24,9999-01-01,Staff
262636,Tamiya,Reutenauer,1965-01-04,1992-04-10,9999-01-01,Senior Engineer
262752,Pramod,Bierman,1965-01-04,1997-12-12,9999-01-01,Engineer
262928,Piyush,Gill,1965-01-01,1995-02-20,9999-01-01,Engineer
263012,Hideo,Buchter,1965-01-09,1999-05-01,9999-01-01,Staff
263370,Shakhar,Ranze,1965-01-03,1999-05-29,9999-01-01,Staff
263439,Atreye,Kabayashi,1965-01-09,1986-12-15,9999-01-01,Senior Engineer
263926,Fusako,Schwartzbauer,1965-01-03,1985-04-07,9999-01-01,Senior Staff
264322,Leandro,Swist,1965-01-03,1991-01-06,9999-01-01,Senior Staff
264939,Bogdan,Bahi,1965-01-10,1999-02-13,9999-01-01,Engineer
265039,Navid,Staudhammer,1965-01-03,1992-10-18,9999-01-01,Senior Staff
265521,Kensei,Salverda,1965-01-04,1993-05-25,9999-01-01,Engineer
266644,Anwar,Gubsky,1965-01-08,1993-08-09,9999-01-01,Senior Staff
266862,Mart,Plumb,1965-01-10,1986-04-21,9999-01-01,Senior Staff
266881,Mokhtar,Sabnani,1965-01-11,1997-02-04,9999-01-01,Senior Staff
267059,Moie,Tempesti,1965-01-09,1991-06-29,9999-01-01,Senior Staff
267227,Susuma,Tagansky,1965-01-10,1995-01-22,9999-01-01,Engineer
267304,Jordanka,Axelband,1965-01-06,1994-06-27,9999-01-01,Senior Staff
267667,Irena,Kaiserswerth,1965-01-05,1987-09-05,9999-01-01,Senior Staff
268191,LiMin,Teitelbaum,1965-01-07,1990-11-01,9999-01-01,Engineer
269728,Naftali,Kragelund,1965-01-12,1987-05-16,9999-01-01,Senior Staff
270084,Ulises,Frolund,1965-01-11,1986-07-26,9999-01-01,Senior Staff
271106,Taisook,Kampfer,1965-01-10,1997-11-30,9999-01-01,Engineer
272316,Surveyors,Muhling,1965-01-05,1999-07-19,9999-01-01,Engineer
272452,Mitsuyuki,Isard,1965-01-10,2002-02-27,9999-01-01,Engineer
273396,Wayne,Baba,1965-01-10,1998-03-07,9999-01-01,Engineer
273806,Hongzhu,Beetstra,1965-01-01,1997-08-18,9999-01-01,Senior Staff
274071,Mingsen,Weiland,1965-01-01,1995-10-12,9999-01-01,Staff
274271,Prodip,Ritcey,1965-01-10,1986-09-10,9999-01-01,Senior Staff
274813,Yefim,Pettey,1965-01-10,1993-08-07,9999-01-01,Senior Staff
275158,Satyanarayana,Brandsma,1965-01-07,1999-12-08,9999-01-01,Engineer
275881,Jiann,Munro,1965-01-08,1988-05-18,9999-01-01,Senior Engineer
276027,Holgard,Stavenow,1965-01-04,1986-02-28,9999-01-01,Senior Staff
276184,Mari,Swick,1965-01-10,1991-04-08,9999-01-01,Senior Staff
276189,Isaac,Klerer,1965-01-10,1995-03-19,9999-01-01,Senior Staff
276563,Gift,Solares,1965-01-01,1995-08-01,9999-01-01,Senior Staff
277316,Vitali,Rothenberg,1965-01-03,1989-10-04,9999-01-01,Senior Staff
277362,Uzi,Kugler,1965-01-09,1991-01-12,9999-01-01,Senior Staff
278452,Sudhanshu,Toyoshima,1965-01-07,1987-08-29,9999-01-01,Senior Staff
278549,Jaana,Werthner,1965-01-02,1989-07-27,9999-01-01,Senior Staff
279115,Maren,DuCasse,1965-01-05,1997-11-29,9999-01-01,Engineer
279280,Niranjan,Debuse,1965-01-09,1992-09-21,9999-01-01,Engineer
279791,Chiranjit,Lyonns,1965-01-10,1986-12-24,9999-01-01,Assistant Engineer
280648,Heeju,Lorys,1965-01-04,1986-12-27,9999-01-01,Engineer
